periodo,anio,trimestre,ambito,indicador,valor,unidad
2025,2025,,España,Percentage. Below 60%. From 15 to 19 years. Total,24.3,Percentage
2025,2025,,España,Percentage. Below 60%. From 15 to 24 years. Females,24.0,Percentage
2025,2025,,España,Percentage. Below 60%. From 15 to 24 years. Males,22.3,Percentage
2025,2025,,España,Percentage. Below 60%. From 15 to 24 years. Total,23.1,Percentage
2025,2025,,España,Percentage. Below 60%. From 15 to 29 years. Females,26.9,Percentage
2025,2025,,España,Percentage. Below 60%. From 15 to 29 years. Males,24.8,Percentage
2025,2025,,España,Percentage. Below 60%. From 15 to 29 years. Total,25.8,Percentage
2025,2025,,España,Percentage. Below 60%. From 16 to 19 years. Females,20.9,Percentage
2025,2025,,España,Percentage. Below 60%. From 16 to 19 years. Males,23.8,Percentage
2025,2025,,España,Percentage. Below 60%. From 16 to 19 years. Total,22.4,Percentage
2025,2025,,España,Percentage. Below 60%. From 16 to 24 years. Females,21.2,Percentage
2025,2025,,España,Percentage. Below 60%. From 16 to 24 years. Males,22.6,Percentage
2025,2025,,España,Percentage. Below 60%. From 16 to 24 years. Total,21.9,Percentage
2025,2025,,España,Percentage. Below 60%. From 16 to 29 years. Females,25.2,Percentage
2025,2025,,España,Percentage. Below 60%. From 16 to 29 years. Males,25.3,Percentage
2025,2025,,España,Percentage. Below 60%. From 16 to 29 years. Total,25.3,Percentage
2025,2025,,España,Percentage. Below 60%. From 18 to 24 years. Females,20.9,Percentage
2025,2025,,España,Percentage. Below 60%. From 18 to 24 years. Males,23.0,Percentage
2025,2025,,España,Percentage. Below 60%. From 18 to 24 years. Total,22.1,Percentage
2025,2025,,España,Percentage. Below 60%. From 18 to 64 years. Females,30.4,Percentage
2025,2025,,España,Percentage. Below 60%. From 18 to 64 years. Males,29.9,Percentage
2025,2025,,España,Percentage. Below 60%. From 18 to 64 years. Total,30.1,Percentage
2025,2025,,España,Percentage. Below 60%. From 20 to 24 years. Females,21.4,Percentage
2025,2025,,España,Percentage. Below 60%. From 20 to 24 years. Males,21.4,Percentage
2025,2025,,España,Percentage. Below 60%. From 20 to 24 years. Total,21.4,Percentage
2025,2025,,España,Percentage. Below 60%. From 20 to 29 years. Females,27.7,Percentage
2025,2025,,España,Percentage. Below 60%. From 20 to 29 years. Males,26.2,Percentage
2025,2025,,España,Percentage. Below 60%. From 20 to 29 years. Total,27.0,Percentage
2025,2025,,España,Percentage. Below 60%. From 25 to 29 years. Females,34.6,Percentage
2025,2025,,España,Percentage. Below 60%. From 25 to 29 years. Males,33.3,Percentage
2025,2025,,España,Percentage. Below 60%. From 25 to 29 years. Total,34.0,Percentage
